Import and Export Product Reviews,Import and Export Product Reviews
File has been successfully uploaded,File has been successfully uploaded
Inserted Row(s),Inserted Row(s)
Existing Row(s),Existing Row(s)
Invalid Row(s),Invalid Row(s)
Reviews has been successfully imported,Reviews has been successfully imported
Import Product Reviews,Import Product Reviews
Export Product Reviews,Export Product Reviews
Disallowed file type,Disallowed file type
Max file size is 2Mb,Max file size is 2Mb
Download Sample File,Download Sample File
