Filter Material;Cold Air Intake,Replacement Intake Air Filter;Cotton Gauze,Non-woven Synthetic,Cotton Gauze & Non-woven Synthetic
Intake Tube Color;Cold Air Intake;Black,Blue,Red
Intake Tube Material;Cold Air Intake;Cross-linked Polyethylene,Aluminum,Steel
Intake Type;Cold Air Intake;Open Element,Sealed
Oiled or Dry Media;Cold Air Intake,Replacement Intake Air Filter;Oiled,Dry
Housing Color;Cold Air Intake;Black,Blue,Red
Filter Color;Cold Air Intake,Replacement Intake Air Filter;Blue,Gray,Gold
Housing Material;Cold Air Intake;Cross-linked Polyethylene,Aluminum,Steel
Coupler Color;Cold Air Intake,Turbo Inlet;Black
Coupler Material;Cold Air Intake,Turbo Inlet;Silicone,Polyurethane,Silicone/Polyurethane
CARB Status;Cold Air Intake,Tuner Module (Scorcher GT/HD/BLUE/PRO),Sprint Booster,Dynamic Air Scoops,Tube Upgrade,Turbo Inlet;Legal in US,Non-CA,Off Road
CARB EO#;Cold Air Intake,Tuner Module (Scorcher GT/HD/BLUE/PRO),Sprint Booster,Dynamic Air Scoops,Tube Upgrade,Turbo Inlet;D-550-XX,Not Required
Flange/End Cap Material;Replacement Intake Air Filter;Polyurethane,Injection Molded Plastic
Flange Position;Replacement Intake Air Filter;Center,Offset,Dual Offset
Tuner Type;Tuner Module (Scorcher GT/HD/BLUE/PRO);Power Module,Programmer
Single Or Multiple Settings;Tuner Module (Scorcher GT/HD/BLUE/PRO),Sprint Booster;Single,Multiple
Adjustability;Tuner Module (Scorcher GT/HD/BLUE/PRO),AGD,Exhaust/Trans Brake Controller - Brake Logic / Shift Logic,Sprint Booster;LED Switch,Touchscreen,Smart Phone/Push Button
Connectivity;Tuner Module (Scorcher GT/HD/BLUE/PRO),AGD,Exhaust/Trans Brake Controller - Brake Logic / Shift Logic,Sprint Booster;Cable
Color;Dynamic Air Scoops,Intake Covers,Pre Filter,Turbo Inlet,Tube Upgrade;Black,Blue,Red,Carbon Fiber,Yellow
Finish;Dynamic Air Scoops,Intake Covers,Tube Upgrade,Turbo Inlet;Anodized,Powder Coated/Natural
Material;Dynamic Air Scoops,Intake Covers,Tube Upgrade,Pre Filter,Turbo Inlet;Cross-linked Polyethylene,Aluminum,Carbon Fiber,Nylon,Foam,Steel
Shape;Pre Filter;Round,Conical
