"The vehicle has been deleted.","The vehicle has been deleted."
"Something went wrong while deleting your vehicle. Please, try again later.","Something went wrong while deleting your vehicle. Please, try again later."
"Wrong customer id","Wrong customer id"
"My Garage","My Garage"
"Wrong request parasm","Wrong request parasm"
"My Garage information has been saved.","My Garage information has been saved."
"Something went wrong while saving your garage. Please, try again later.","Something went wrong while saving your garage. Please, try again later."
"MY GARAGE","MY GARAGE"
"VEHICLE #%1","VEHICLE #%1"
ADD,ADD
"[THEN PRESS SAVE GARAGE TO ADD MORE]","[THEN PRESS SAVE GARAGE TO ADD MORE]"
Garage,Garage
Settings,Settings
"Amasty Parts Finder Used in Garage","Amasty Parts Finder Used in Garage"
"SEARCH BY VEHICLE","SEARCH BY VEHICLE"
